Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
DIST,DIST,distal
F,F,feminine
IMP,IMP,imperative
INF,INF,infinitive
M,M,masculine
N,N,neuter
NEG,NEG,negation
[INT],none,interviewer
HORT,none,hortative
NC,none,not considered
TAG,none,tag question
CMPR,none,comparative
NC3PL,none,not considered
SUPR,none,superlative
OBL,OBL,oblique
PL,PL,plural
POSS,POSS,possessive
PROX,PROX,proximal/proximate
PRS,PRS,present
PST,PST,past
PTCP,PTCP,participle
REFL,REFL,reflexive
SG,SG,singular
SUBJ,SBJV,subjunctive
